Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,48.14,49.0,48.1,48.81,0.714699450723,48.81
2014-12-01,48.35,48.98,47.36,48.12,1.01882826675,48.12
2014-11-28,50.18,50.25,48.48,48.67,1.06241836607,48.67
2014-11-26,51.39,51.79,50.94,51.76,0.460719742331,51.76
2014-11-25,52.36,52.48,51.39,51.39,0.630432111732,51.39
2014-11-24,52.49,52.8,52.1,52.26,0.802858597118,52.26
2014-11-21,53.28,53.8,52.31,52.84,1.13088298988,52.84
2014-11-20,51.0,51.55,50.63,51.48,0.51851804131,51.48
2014-11-19,52.11,52.4,51.29,51.48,0.600474790667,51.48
2014-11-18,51.09,52.18,50.93,52.07,1.0993256499,52.07
2014-11-17,51.39,51.44,50.75,51.12,0.479985237965,51.12
2014-11-14,50.54,51.51,50.26,51.37,1.16107701658,51.37
2014-11-13,50.38,51.35,49.16,49.96,1.3565854149,49.96
2014-11-12,50.27,50.97,49.69,49.9,1.03344358073,49.9
2014-11-11,49.55,49.99,49.21,49.52,0.432641069935,49.52
2014-11-10,49.57,49.84,49.17,49.48,0.578394526388,49.48
2014-11-07,49.84,50.13,49.3,49.5,0.557811517114,49.5
2014-11-06,49.12,49.9,48.86,49.81,1.05463569721,49.81
2014-11-05,48.19,49.2,47.92,49.16,0.716656682412,49.16
2014-11-04,48.75,49.22,47.51,47.58,1.03126378421,47.58
2014-11-03,49.3,49.95,48.98,49.13,0.754205489,49.13
2014-10-31,48.75,49.44,48.44,49.4,0.997536790602,49.4
2014-10-30,47.42,48.66,47.18,48.25,0.793972041111,48.25
2014-10-29,47.95,48.1,46.8,47.38,1.63980732636,47.38
2014-10-28,47.27,48.0,47.09,47.98,1.03174233813,47.98
2014-10-27,47.55,47.74,46.28,46.49,1.76158140535,46.49
2014-10-24,47.63,48.22,46.97,48.21,1.0030541854,48.21
2014-10-23,48.77,48.95,47.4,47.68,1.31189990803,47.68
2014-10-22,50.06,50.19,47.5,47.61,1.80339317338,47.61
2014-10-21,47.1,48.52,47.02,48.21,1.86610383259,48.21
2014-10-20,46.15,46.74,46.05,46.51,0.850800641769,46.51
2014-10-17,45.46,46.69,45.41,46.05,1.91438595417,46.05
2014-10-16,43.25,45.02,42.96,44.76,1.72918939131,44.76
2014-10-15,43.03,44.24,41.45,44.09,3.12705183426,44.09
2014-10-14,45.13,45.72,43.77,43.93,3.28460736553,43.93
2014-10-13,47.44,47.77,44.77,44.89,2.70110062278,44.89
2014-10-10,47.18,48.15,46.54,47.57,2.21761117587,47.57
2014-10-09,49.99,50.1,47.57,48.23,2.26347244668,48.23
2014-10-08,49.36,50.05,48.54,50.0,1.91731955873,50.0
2014-10-07,50.3,50.36,49.48,49.5,0.972996851657,49.5
2014-10-06,50.97,51.09,50.36,50.5,0.849610725264,50.5
2014-10-03,50.58,51.01,50.45,50.62,0.984559215312,50.62
2014-10-02,49.6,50.57,48.51,50.42,1.81432667454,50.42
