Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,26.9,27.82,26.8,27.24,0.902119887831,27.24
2014-12-01,27.21,27.53,26.72,26.91,0.881286431791,26.91
2014-11-28,27.07,27.55,27.03,27.41,0.594749854296,27.41
2014-11-26,26.59,26.94,26.54,26.87,0.734459532233,26.87
2014-11-25,27.13,27.4,26.43,26.66,1.25723731375,26.66
2014-11-24,26.54,26.87,26.35,26.54,0.69375809969,26.54
2014-11-21,26.5,26.74,26.31,26.48,0.657071750623,26.48
2014-11-20,25.66,26.24,25.65,26.2,0.5349894264,26.2
2014-11-19,25.94,26.03,25.54,25.98,0.776734686945,25.98
2014-11-18,25.3,25.94,25.3,25.73,0.718301899729,25.73
2014-11-17,25.59,25.98,25.32,25.34,0.811700742783,25.34
2014-11-14,25.18,25.64,25.14,25.62,0.586038265065,25.62
2014-11-13,25.18,25.5,25.12,25.43,0.752582352869,25.43
2014-11-12,25.18,25.34,25.03,25.12,0.644252806753,25.12
2014-11-11,25.32,25.54,25.12,25.27,0.532465879225,25.27
2014-11-10,25.25,25.37,24.93,25.33,0.677174229976,25.33
2014-11-07,25.1,25.44,25.01,25.15,0.901959326162,25.15
2014-11-06,24.54,25.35,24.5,25.15,1.47142210924,25.15
2014-11-05,24.25,24.77,24.1,24.43,1.0409621663,24.43
2014-11-04,24.35,24.48,23.77,23.98,1.07892458792,23.98
2014-11-03,24.28,24.8,24.25,24.51,1.14082013846,24.51
2014-10-31,24.0,24.33,23.77,24.23,1.48767033955,24.23
2014-10-30,23.01,23.82,22.86,23.54,1.25476331251,23.54
2014-10-29,23.37,24.05,22.57,23.03,3.30782336098,23.03
2014-10-28,20.8,22.03,20.58,21.91,3.0902304445,21.85
2014-10-27,20.68,20.8,20.23,20.61,0.778503134132,20.55
2014-10-24,21.04,21.07,20.66,20.81,0.707530940142,20.75
2014-10-23,20.97,21.17,20.51,20.97,1.10443004935,20.91
2014-10-22,21.12,21.42,20.76,20.78,1.82781282596,20.72
2014-10-21,20.46,21.23,20.46,21.02,1.02611529963,20.96
2014-10-20,20.12,20.67,20.12,20.41,1.03788790451,20.35
2014-10-17,20.28,20.75,20.09,20.21,1.32468331597,20.15
2014-10-16,19.41,20.4,19.38,19.98,1.72499436285,19.93
2014-10-15,19.83,19.98,18.87,19.89,2.19049508492,19.84
2014-10-14,19.62,20.16,19.62,20.04,1.95304829114,19.99
2014-10-13,20.22,20.57,19.58,19.63,1.92692526295,19.58
2014-10-10,20.87,21.0,20.06,20.17,1.83126207367,20.11
2014-10-09,21.87,21.89,20.86,20.92,2.4155907716,20.86
2014-10-08,21.78,22.06,21.24,21.95,1.46758354907,21.89
2014-10-07,22.14,22.23,21.68,21.85,1.59008956883,21.79
2014-10-06,22.5,22.79,22.24,22.27,0.902001145812,22.21
2014-10-03,22.49,22.6,22.2,22.34,1.17843759525,22.28
2014-10-02,22.04,22.57,21.72,22.34,1.39344800717,22.28
2014-10-01,22.48,22.58,21.96,22.11,1.49294891998,22.05
2014-09-30,22.91,22.95,22.32,22.59,1.19813008954,22.53
2014-09-29,22.98,23.22,22.81,22.95,0.831938172955,22.89
2014-09-26,23.2,23.43,23.02,23.25,0.756538295575,23.19
2014-09-25,23.32,23.43,22.93,23.2,0.918439344982,23.14
2014-09-24,23.53,23.61,23.06,23.39,1.58527461835,23.33
2014-09-23,23.9,23.92,23.4,23.61,1.12030863997,23.55
2014-09-22,23.9,24.05,23.68,24.04,1.2096737902,23.97
2014-09-19,24.66,24.66,23.84,23.91,2.24984525372,23.84
2014-09-18,24.77,24.84,24.5,24.51,0.835570937009,24.44
2014-09-17,24.81,24.99,24.5,24.61,0.541823533663,24.54
2014-09-16,24.34,24.97,24.27,24.74,1.03421809167,24.67
2014-09-15,24.58,24.63,24.21,24.27,0.774182614573,24.2
2014-09-12,25.01,25.01,24.47,24.6,1.15573298626,24.53
2014-09-11,24.8,25.2,24.79,25.01,0.627465921823,24.94
2014-09-10,24.72,25.2,24.72,24.99,0.974144215755,24.92
2014-09-09,25.0,25.07,24.71,24.83,1.19515634126,24.76
2014-09-08,25.17,25.38,24.85,25.0,0.892074862693,24.93
2014-09-05,25.63,25.77,25.09,25.19,1.23672092963,25.12
2014-09-04,25.96,26.15,25.61,25.81,1.44816852639,25.74
2014-09-03,25.83,25.91,25.63,25.88,0.754387290489,25.81
2014-09-02,25.9,26.23,25.69,25.73,0.984268437094,25.66
2014-08-29,25.71,26.09,25.68,25.97,1.53648236165,25.9
2014-08-28,25.51,25.81,25.26,25.77,1.03443718265,25.7
2014-08-27,25.24,25.68,25.2,25.51,0.887106362567,25.44
2014-08-26,25.26,25.48,25.05,25.13,0.787590309088,25.06
2014-08-25,25.27,25.36,25.04,25.15,0.515310071478,25.08
2014-08-22,25.19,25.25,24.93,25.07,0.6400429477,25.0
2014-08-21,25.45,25.54,25.18,25.26,0.507014709854,25.19
2014-08-20,25.58,25.6,25.33,25.46,0.410718524839,25.39
2014-08-19,25.47,25.91,25.38,25.6,0.92354514234,25.53
2014-08-18,24.99,25.65,24.8,25.43,1.00168004907,25.36
2014-08-15,24.94,24.98,24.57,24.89,0.785358148146,24.82
